it_start_UT,it_end_UT,sfu_10640MHz,std_sfu_10640MHz,corr_sfu_10640MHz,corr_std_sfu_10640MHz,temp_K,precip_mm,global_irr_Wm2,quality_check_pointing,comment
2024-11-04 13:00:00,2024-11-04 14:00:00,233.9263181910869,18.044949555824555,233.9263181910869,18.044949555824555,289.01666666666665,0.0,357.5,1,CI/DM 
2024-11-05 09:00:00,2024-11-05 10:00:00,,,,,285.18333333333334,0.0,292.1666666666667,1,TO 
2024-11-05 11:00:00,2024-11-05 12:00:00,293.10080133971195,18.26640668462171,293.10080133971195,18.26640668462171,286.56666666666666,0.0,375.1666666666667,1,
2024-11-05 13:00:00,2024-11-05 14:00:00,249.65975517648425,18.288160118144337,249.65975517648425,18.288160118144337,289.04999999999995,0.0,360.0,1,CI/DM 
2024-11-06 09:00:00,2024-11-06 10:00:00,,,,,283.54999999999995,0.0,253.3333333333333,1,TO 
2024-11-06 11:00:00,2024-11-06 12:00:00,265.2031055843721,14.676136214773162,265.2031055843721,14.676136214773162,285.65,0.0,424.8333333333333,1,
2024-11-06 13:00:00,2024-11-06 14:00:00,217.94371225113048,17.61046043459144,217.94371225113048,17.61046043459144,287.79999999999995,0.0,360.8333333333333,1,CI/DM 
2024-11-07 09:00:00,2024-11-07 10:00:00,,,,,285.0333333333333,0.0,399.8333333333333,1,TO 
2024-11-07 11:00:00,2024-11-07 12:00:00,256.58523868285704,12.2140764425804,256.58523868285704,12.2140764425804,286.31666666666666,0.0,358.8333333333333,1,
2024-11-07 13:00:00,2024-11-07 14:00:00,221.514992621182,15.511442328730508,221.514992621182,15.511442328730508,287.71666666666664,0.0,277.1666666666667,1,CI/DM 
2024-11-08 09:00:00,2024-11-08 10:00:00,,,,,283.3666666666666,0.0,375.5,1,TO 
2024-11-08 11:00:00,2024-11-08 12:00:00,232.22283865902105,14.377936289440951,232.22283865902105,14.377936289440951,284.7,0.0,312.8333333333333,1,CI/DM 
2024-11-08 13:00:00,2024-11-08 14:00:00,185.32032483957627,16.12047802123967,185.32032483957627,16.12047802123967,286.26666666666665,0.0,250.16666666666663,1,CI/DM 
2024-11-09 09:00:00,2024-11-09 10:00:00,,,,,282.8666666666666,0.0,315.3333333333333,1,TO 
2024-11-09 11:00:00,2024-11-09 12:00:00,244.3703020590032,14.161163335646286,244.3703020590032,14.161163335646286,284.5333333333333,0.0,377.8333333333333,1,CI/DM 
2024-11-09 13:00:00,2024-11-09 14:00:00,195.0846783142119,11.692507669560724,195.0846783142119,11.692507669560724,285.5,0.0,283.8333333333333,1,CI/DM 
2024-11-10 09:00:00,2024-11-10 10:00:00,,,,,283.66666666666663,0.0,373.3333333333333,1,TO 
2024-11-10 11:00:00,2024-11-10 12:00:00,251.240157456982,10.389720095274289,251.240157456982,10.389720095274289,286.0833333333333,0.0,453.6666666666667,1,CI/DM 
2024-11-10 13:00:00,2024-11-10 14:00:00,211.74927382375887,11.918356442680174,211.74927382375887,11.918356442680174,287.68333333333334,0.0,332.1666666666667,1,CI/DM 
2024-11-11 09:00:00,2024-11-11 10:00:00,241.5659021079405,10.394470337778635,241.5659021079405,10.394470337778635,283.5833333333333,0.0,367.5,1,
2024-11-11 11:00:00,2024-11-11 12:00:00,252.8162506446014,12.593481592720142,252.8162506446014,12.593481592720142,286.4,0.0,452.3333333333333,1,CI/DM 
2024-11-11 13:00:00,2024-11-11 14:00:00,197.4241450997535,13.453314759676775,197.4241450997535,13.453314759676775,287.0833333333333,0.0,319.1666666666667,1,CI/DM 
2024-11-12 09:00:00,2024-11-12 10:00:00,238.3100930907839,9.183034086710872,238.3100930907839,9.183034086710872,282.43333333333334,0.0,186.5,1,
2024-11-12 11:00:00,2024-11-12 12:00:00,230.6937542406821,12.225436093394451,230.6937542406821,12.225436093394451,285.0833333333333,0.0,423.6666666666667,1,CI/DM 
2024-11-12 13:00:00,2024-11-12 14:00:00,192.78220484258333,10.636813629161193,192.78220484258333,10.636813629161193,285.04999999999995,0.0,282.1666666666667,1,CI/DM 
2024-11-13 09:00:00,2024-11-13 10:00:00,218.5628876913864,8.929458150867292,218.5628876913864,8.929458150867292,281.41666666666663,0.0,370.5,1,CI/DM 
2024-11-13 11:00:00,2024-11-13 12:00:00,204.7391343689896,9.981597620424385,204.7391343689896,9.981597620424385,283.56666666666666,0.0,363.1666666666667,1,CI/DM 
2024-11-13 13:00:00,2024-11-13 14:00:00,169.0488769336684,10.679940991983427,169.0488769336684,10.679940991983427,284.5833333333333,0.0,333.0,1,CI/DM 
2024-11-14 09:00:00,2024-11-14 10:00:00,231.77761071898004,7.96953709984475,231.77761071898004,7.96953709984475,280.71666666666664,0.0,319.1666666666667,1,CI/DM 
2024-11-14 11:00:00,2024-11-14 12:00:00,213.2835667624083,9.530564924445551,213.2835667624083,9.530564924445551,282.85,0.0,412.0,1,CI/DM 
2024-11-14 13:00:00,2024-11-14 14:00:00,175.32437946916494,11.023679129459037,175.32437946916494,11.023679129459037,283.21666666666664,0.0,289.3333333333333,1,CI/DM 
2024-11-15 09:00:00,2024-11-15 10:00:00,223.63961567052544,9.21330951702334,223.63961567052544,9.21330951702334,280.2,0.0,355.6666666666667,1,CI/DM 
2024-11-15 11:00:00,2024-11-15 12:00:00,214.211194023626,9.705254574083142,214.211194023626,9.705254574083142,282.85,0.0,437.1666666666667,1,CI/DM 
2024-11-15 13:00:00,2024-11-15 14:00:00,178.05887966615626,10.048104143808954,178.05887966615626,10.048104143808954,283.75,0.0,307.0,1,CI/DM 
2024-11-16 09:00:00,2024-11-16 10:00:00,211.56119423672365,11.108531791245948,211.56119423672365,11.108531791245948,279.68333333333334,0.0,349.5,1,CI/DM 
2024-11-16 11:00:00,2024-11-16 12:00:00,203.91598182462675,10.6555128942979,203.91598182462675,10.6555128942979,282.29999999999995,0.0,436.6666666666667,1,CI/DM 
2024-11-16 13:00:00,2024-11-16 14:00:00,170.93381822208622,10.593093666372557,170.93381822208622,10.593093666372557,283.3666666666666,0.0,311.8333333333333,1,CI/DM 
2024-11-17 09:00:00,2024-11-17 10:00:00,230.5021470433744,10.390168385274702,230.5021470433744,10.390168385274702,280.35,0.0,357.0,1,CI/DM 
2024-11-17 11:00:00,2024-11-17 12:00:00,237.24463347722,9.830101666420225,237.24463347722,9.830101666420225,283.3833333333333,0.0,431.0,1,CI/DM 
2024-11-17 13:00:00,2024-11-17 14:00:00,195.6552070443365,10.94192093382722,195.6552070443365,10.94192093382722,284.56666666666666,0.0,298.0,1,CI/DM 
2024-11-18 09:00:00,2024-11-18 10:00:00,222.93889787071035,10.580944111312911,222.93889787071035,10.580944111312911,282.41666666666663,0.0,330.3333333333333,1,CI/DM 
2024-11-18 11:00:00,2024-11-18 12:00:00,222.48815731900663,10.964738700210964,222.48815731900663,10.964738700210964,283.76666666666665,0.0,367.8333333333333,1,CI/DM 
2024-11-18 13:00:00,2024-11-18 14:00:00,169.72010202817577,12.92149060260793,169.72010202817577,12.92149060260793,283.79999999999995,0.0,164.5,1,CI/DM 
2024-11-19 09:00:00,2024-11-19 10:00:00,240.6263216570032,6.945694858944221,240.6263216570032,6.945694858944221,279.46666666666664,0.0,117.33333333333331,1,
2024-11-19 11:00:00,2024-11-19 12:00:00,236.71680886431693,10.765514728801453,236.71680886431693,10.765514728801453,282.35,0.0,351.8333333333333,1,CI/DM 
2024-11-19 13:00:00,2024-11-19 14:00:00,198.019964662954,13.874716605108071,198.019964662954,13.874716605108071,282.16666666666663,0.0,210.5,1,CI/DM 
2024-11-20 09:00:00,2024-11-20 10:00:00,247.53269722986,9.949555858979917,247.53269722986,9.949555858979917,283.95,0.0,214.5,1,
2024-11-20 11:00:00,2024-11-20 12:00:00,242.6860886083101,8.694550396704166,242.6860886083101,8.694550396704166,285.25,0.0,442.6666666666667,1,
2024-11-20 13:00:00,2024-11-20 14:00:00,196.30229398766969,12.74483977511171,196.30229398766969,12.74483977511171,284.79999999999995,0.0,313.5,1,CI/DM 
2024-11-21 09:00:00,2024-11-21 10:00:00,182.9743375577984,8.548090276573728,182.9743375577984,8.548090276573728,277.45,0.0,194.66666666666663,1,CI/DM 
2024-11-21 11:00:00,2024-11-21 12:00:00,161.5101404271307,11.48833616717052,161.5101404271307,11.48833616717052,277.41666666666663,0.0,60.5,1,CI/DM 
2024-11-21 13:00:00,2024-11-21 14:00:00,127.0860316672552,8.512228832340309,127.0860316672552,8.512228832340309,275.16666666666663,0.4,5.5,1,CI/DM PR 
2024-11-22 09:00:00,2024-11-22 10:00:00,230.91905812640377,9.074646394780922,230.91905812640377,9.074646394780922,279.35,0.0,345.5,1,CI/DM 
2024-11-22 11:00:00,2024-11-22 12:00:00,233.1994860125195,10.194838822559618,233.1994860125195,10.194838822559618,280.18333333333334,0.0,444.3333333333333,1,CI/DM 
2024-11-22 13:00:00,2024-11-22 14:00:00,200.62892735309748,13.11943116994027,200.62892735309748,13.11943116994027,279.8666666666666,0.0,338.8333333333333,1,CI/DM 
2024-11-23 09:00:00,2024-11-23 10:00:00,234.8354051907644,9.52798993232872,234.8354051907644,9.52798993232872,277.1,0.0,329.3333333333333,1,CI/DM 
2024-11-23 11:00:00,2024-11-23 12:00:00,232.772123272688,11.257895310274936,232.772123272688,11.257895310274936,279.31666666666666,0.0,434.8333333333333,1,CI/DM 
2024-11-23 13:00:00,2024-11-23 14:00:00,189.1815923668286,16.189014065960798,189.1815923668286,16.189014065960798,278.16666666666663,0.0,107.33333333333331,1,CI/DM 
2024-11-24 09:00:00,2024-11-24 10:00:00,223.45399028408724,8.590889758299284,223.45399028408724,8.590889758299284,277.01666666666665,0.0,181.5,1,CI/DM 
2024-11-24 11:00:00,2024-11-24 12:00:00,227.2935116836261,15.248718763957616,227.2935116836261,15.248718763957616,279.46666666666664,0.0,313.5,1,CI/DM 
2024-11-24 13:00:00,2024-11-24 14:00:00,183.5964839928945,16.689293811896132,183.5964839928945,16.689293811896132,280.65,0.0,233.5,1,CI/DM 
2024-11-25 09:00:00,2024-11-25 10:00:00,261.0052934029413,11.234384061080558,261.0052934029413,11.234384061080558,279.0333333333333,0.0,78.33333333333333,1,
2024-11-25 11:00:00,2024-11-25 12:00:00,264.5033727897958,10.13680795470434,264.5033727897958,10.13680795470434,280.0833333333333,0.0,112.0,1,
2024-11-25 13:00:00,2024-11-25 14:00:00,213.2859814810284,18.58576000088592,213.2859814810284,18.58576000088592,280.76666666666665,0.0,78.33333333333333,1,CI/DM 
2024-11-26 09:00:00,2024-11-26 10:00:00,251.4860486430315,10.241654800529142,251.4860486430315,10.241654800529142,281.7,0.0,281.8333333333333,1,
2024-11-26 11:00:00,2024-11-26 12:00:00,,,,,283.2,0.0,334.0,1,TO 
2024-11-26 13:00:00,2024-11-26 14:00:00,,,,,282.8666666666666,0.0,228.0,1,TO 
2024-12-03 09:00:00,2024-12-03 10:00:00,1.401988372192805,0.0736572158641111,1.401988372192805,0.0736572158641111,280.0833333333333,0.0,278.6666666666667,1,CI/DM 
2024-12-03 11:00:00,2024-12-03 12:00:00,-3.1427286476294576,11.943824001693578,-3.1427286476294576,11.943824001693578,281.8333333333333,0.0,371.3333333333333,1,CI/DM 
2024-12-03 13:00:00,2024-12-03 14:00:00,2.2643733314918304,0.0685590892620636,2.2643733314918304,0.0685590892620636,282.35,0.0,203.66666666666663,1,CI/DM 
2024-12-04 09:00:00,2024-12-04 10:00:00,,,,,281.0333333333333,0.0,255.5,1,TO 
2024-12-04 11:00:00,2024-12-04 12:00:00,2.173680301539789,0.078968982495574,2.173680301539789,0.078968982495574,283.76666666666665,0.0,366.6666666666667,1,CI/DM 
2024-12-04 13:00:00,2024-12-04 14:00:00,1.953952443161868,0.0877570277761177,1.953952443161868,0.0877570277761177,284.6,0.0,273.1666666666667,1,CI/DM 
2024-12-05 09:00:00,2024-12-05 10:00:00,300.48428933978806,8.165733697112994,300.48428933978806,8.165733697112994,278.5833333333333,0.0,284.6666666666667,1,
2024-12-05 11:00:00,2024-12-05 12:00:00,303.9412803094256,18.41425094286389,303.9412803094256,18.41425094286389,280.0833333333333,0.0,330.8333333333333,1,
2024-12-05 13:00:00,2024-12-05 14:00:00,283.42027527514,11.748933418577154,283.42027527514,11.748933418577154,281.41666666666663,0.0,233.8333333333333,1,
2024-12-06 09:00:00,2024-12-06 10:00:00,304.68995624304125,10.185481264956396,304.68995624304125,10.185481264956396,276.81666666666666,0.0,127.33333333333331,1,
2024-12-06 11:00:00,2024-12-06 12:00:00,297.1762646921557,20.516288724847225,297.1762646921557,20.516288724847225,279.0333333333333,0.0,268.0,1,
