DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 1.80028, 225.658,  20.780, New tracking position
 1.81694, 225.860,  20.667, Off source in elevation
 1.81694, 225.860,  20.667, New tracking position
 1.83361, 226.062,  20.554, Off source in elevation
 1.83361, 226.062,  20.554, New tracking position
 1.85028, 226.263,  10.440, On source in elevation
 1.85028, 226.263,  10.440, New tracking position
 1.86694, 226.464,  10.325, On source in elevation
 1.86694, 226.464,  10.325, New tracking position
 1.88361, 226.665,  10.210, On source in elevation
 1.88361, 226.665,  10.210, New tracking position
 1.90028, 226.865,  20.095, Off source in elevation
 1.90028, 226.865,  20.095, New tracking position
 1.91694, 227.065,  19.980, Off source in elevation
 1.91694, 227.065,  19.980, New tracking position
 1.93361, 227.265,  19.864, Off source in elevation
 1.93361, 227.265,  19.864, New tracking position
 1.95028, 227.464,   9.747, On source in elevation
 1.95028, 227.464,   9.747, New tracking position
 1.96694, 227.663,   9.631, On source in elevation
 1.96694, 227.663,   9.631, New tracking position
 1.98361, 227.862,   9.514, On source in elevation
 1.98361, 227.862,   9.514, New tracking position
 2.00028, 228.060,  -8.000, Hot reference on ground (To)
 2.00028, 228.060,  -8.000, New tracking position
 2.01694, 228.259,  -8.000, Hot reference on ground (To)
 2.01694, 228.259,  -8.000, New tracking position
 2.03361, 228.457,  -8.000, Hot reference on ground (To)
 2.03361, 228.457,  -8.000, New tracking position
 2.05028, 228.654,  19.042, Off source in elevation
 2.05028, 228.654,  19.042, New tracking position
 2.06694, 228.851,  18.924, Off source in elevation
 2.06694, 228.851,  18.924, New tracking position
 2.08361, 229.048,  18.805, Off source in elevation
 2.08361, 229.048,  18.805, New tracking position
 2.10028, 229.245,   8.685, On source in elevation
 2.10028, 229.245,   8.685, New tracking position
 2.11694, 229.441,   8.565, On source in elevation
 2.11694, 229.441,   8.565, New tracking position
 2.13361, 229.638,   8.445, On source in elevation
 2.13361, 229.638,   8.445, New tracking position
 2.15028, 229.833,  18.325, Off source in elevation
 2.15028, 229.833,  18.325, New tracking position
 2.16694, 230.029,  18.204, Off source in elevation
 2.16694, 230.029,  18.204, New tracking position
 2.18361, 230.224,  18.083, Off source in elevation
 2.18361, 230.224,  18.083, New tracking position
 2.20028, 230.419,   7.962, On source in elevation
 2.20028, 230.419,   7.962, New tracking position
 2.21694, 230.614,   7.840, On source in elevation
 2.21694, 230.614,   7.840, New tracking position
 2.23361, 230.808,   7.718, On source in elevation
 2.23361, 230.808,   7.718, New tracking position
 2.25028, 231.002,  -8.000, Hot reference on ground (To)
 2.25028, 231.002,  -8.000, New tracking position
 2.26694, 231.196,  -8.000, Hot reference on ground (To)
 2.26694, 231.196,  -8.000, New tracking position
 2.28361, 231.389,  -8.000, Hot reference on ground (To)
 2.28361, 231.389,  -8.000, New tracking position
 2.30028, 231.583,  17.227, Off source in elevation
 2.30028, 231.583,  17.227, New tracking position
 2.31694, 231.776,  17.103, Off source in elevation
 2.31694, 231.776,  17.103, New tracking position
 2.33361, 231.968,  16.980, Off source in elevation
 2.33361, 231.968,  16.980, New tracking position
 2.35028, 232.161,   6.856, On source in elevation
