start_scan_UTC,end_scan_UTC,amplitude_fit,delta_azi_fit,delta_ele_fit,sigma_azi_fit,sigma_ele_fit,aziref,eleref,quality_check
2025-04-05 11:59:00,2025-04-05 12:00:00,147.9501342655025,-0.5229390633139791,-0.0810477944948113,1.5793558105984142,1.137500037876994,182.4,60.5,1
2025-04-05 12:59:00,2025-04-05 13:00:00,148.15923703897593,-0.0946793367528784,-0.0955945093199986,1.5071688921089086,1.1492526701256238,182.4,60.5,1
2025-04-05 13:59:00,2025-04-05 14:00:00,147.90604674773436,0.3602358198867298,-0.1412001626273695,1.164964504094296,1.1546362943266024,182.4,60.5,1
2025-04-06 08:59:00,2025-04-06 09:00:00,148.51945789115817,0.2647702986931993,0.0563085469888272,1.4516064617236195,1.2589380914764747,182.4,60.5,1
2025-04-06 09:59:00,2025-04-06 10:00:00,148.6790405680768,-0.2187328809191549,-0.0234937459749415,1.5505988605258672,1.1655803368422577,182.4,60.5,1
2025-04-06 10:59:00,2025-04-06 11:00:00,148.31080081437628,-0.4345813809524329,-0.0742885885476161,1.3359688255139572,1.1492959741288535,182.4,60.5,1
2025-04-06 11:59:00,2025-04-06 12:00:00,148.59291268609277,-0.4410326478947807,-0.0504243848926252,1.3131772476040515,1.1336582524733114,182.4,60.5,1
2025-04-06 12:59:00,2025-04-06 13:00:00,148.58814599215506,-0.1105470853776457,-0.0954492989713459,1.4327157630640668,1.1006450550362077,182.4,60.5,1
2025-04-06 13:59:00,2025-04-06 14:00:00,148.19489759677225,0.3553458053544222,-0.1584084833369016,1.2300620525253587,1.1840514727712284,182.4,60.5,1
2025-04-07 08:59:00,2025-04-07 09:00:00,149.6336595848869,0.2175454964781635,-0.1357705525251734,1.3808855090366263,1.2205525462206377,182.4,60.5,1
2025-04-07 09:59:00,2025-04-07 10:00:00,149.3934748312658,-0.2523124511360042,-0.1225431018443186,1.441563969844634,1.1958626505388203,182.4,60.5,1
2025-04-07 10:59:00,2025-04-07 11:00:00,149.35462653749406,-0.7645970099392888,-0.1174770124658863,1.5388336369854394,1.1573573495536045,182.4,60.5,0
2025-04-07 11:59:00,2025-04-07 12:00:00,148.928341846589,-0.4054813395198671,-0.1455473271776545,1.3149762952732127,1.1260763337929596,182.4,60.5,1
2025-04-07 12:59:00,2025-04-07 13:00:00,148.84613743168077,-0.088628431390429,-0.1676223092137413,1.380647212845509,1.1479237072007955,182.4,60.5,1
