DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
10.30000, 155.393,  38.675, New tracking position
10.31667, 155.700,  38.747, New tracking position
10.33333, 156.007,  38.818, New tracking position
10.35000, 156.315,  38.888, New tracking position
10.36667, 156.623,  38.958, New tracking position
10.38333, 156.932,  39.026, New tracking position
10.40000, 157.242,  39.094, New tracking position
10.41667, 157.552,  39.161, New tracking position
10.43333, 157.863,  39.226, New tracking position
10.45000, 158.175,  39.291, New tracking position
10.46667, 158.487,  39.356, New tracking position
10.48333, 158.799,  39.419, New tracking position
10.50000, 159.113,  39.481, New tracking position
10.51667, 159.426,  39.543, New tracking position
10.53333, 159.741,  39.603, New tracking position
10.55000, 160.056,  39.663, New tracking position
10.56667, 160.371,  39.722, New tracking position
10.58333, 160.687,  39.780, New tracking position
10.60000, 161.004,  39.837, New tracking position
10.61667, 161.321,  39.893, New tracking position
10.63333, 161.638,  39.948, New tracking position
10.65000, 161.956,  40.003, New tracking position
10.66667, 162.275,  40.056, New tracking position
10.68333, 162.594,  40.109, New tracking position
10.70000, 162.914,  40.160, New tracking position
10.71667, 163.234,  40.211, New tracking position
10.73333, 163.555,  40.261, New tracking position
10.75000, 163.876,  40.309, New tracking position
10.76667, 164.197,  40.357, New tracking position
10.78333, 164.519,  40.404, New tracking position
10.80000, 164.842,  40.450, New tracking position
10.81667, 165.165,  40.495, New tracking position
10.83333, 165.488,  40.539, New tracking position
10.85000, 165.812,  40.582, New tracking position
10.86667, 166.136,  40.625, New tracking position
10.88333, 166.461,  40.666, New tracking position
10.90000, 166.786,  40.706, New tracking position
10.91667, 167.112,  40.746, New tracking position
10.93333, 167.438,  40.784, New tracking position
10.95000, 167.764,  40.821, New tracking position
10.96667, 168.090,  40.858, New tracking position
10.98333, 168.417,  40.893, New tracking position
11.00000, 168.745,  40.928, New tracking position
11.01667, 169.072,  40.961, New tracking position
11.03389, 169.411,  40.995, New tracking position
11.05028, 169.734,  41.026, New tracking position
11.06694, 170.063,  41.057, New tracking position
11.08389, 170.397,  41.087, New tracking position
11.10056, 170.727,  41.116, New tracking position
11.11694, 171.051,  41.143, New tracking position
11.13389, 171.381,  41.170, New tracking position
11.15028, 171.711,  41.195, New tracking position
11.16694, 172.041,  41.220, New tracking position
11.18361, 172.372,  41.244, New tracking position
11.20028, 172.703,  41.266, New tracking position
11.21694, 173.034,  41.288, New tracking position
11.23361, 173.365,  41.309, New tracking position
11.25028, 173.697,  41.329, New tracking position
11.26694, 174.028,  41.348, New tracking position
11.28361, 174.360,  41.365, New tracking position
11.30028, 174.692,  41.382, New tracking position
11.31694, 175.025,  41.398, New tracking position
11.33361, 175.357,  41.413, New tracking position
11.35028, 175.690,  41.426, New tracking position
11.36694, 176.022,  41.439, New tracking position
11.38361, 176.355,  41.451, New tracking position
11.40028, 176.688,  41.462, New tracking position
11.41694, 177.021,  41.472, New tracking position
11.43361, 177.354,  41.480, New tracking position
11.45028, 177.688,  41.488, New tracking position
11.46694, 178.021,  41.495, New tracking position
11.48361, 178.354,  41.501, New tracking position
11.50028, 178.688,  41.505, New tracking position
11.51694, 179.016,  41.509, New tracking position
11.53361, 179.349,  41.512, New tracking position
11.55028, 179.683,  41.513, New tracking position
11.56667, 180.016,  41.514, New tracking position
11.58361, 180.350,  41.514, New tracking position
11.60028, 180.684,  41.513, New tracking position
11.61694, 181.017,  41.510, New tracking position
11.63361, 181.351,  41.507, New tracking position
11.65028, 181.684,  41.503, New tracking position
11.66694, 182.023,  41.497, New tracking position
11.68361, 182.357,  41.491, New tracking position
11.70028, 182.690,  41.484, New tracking position
11.71694, 183.023,  41.475, New tracking position
11.73361, 183.356,  41.466, New tracking position
11.75028, 183.689,  41.456, New tracking position
11.76694, 184.022,  41.444, New tracking position
11.78361, 184.355,  41.432, New tracking position
11.80028, 184.688,  41.418, New tracking position
11.81694, 185.020,  41.404, New tracking position
11.83361, 185.352,  41.389, New tracking position
11.85028, 185.685,  41.372, New tracking position
11.86694, 186.017,  41.355, New tracking position
11.88361, 186.348,  41.337, New tracking position
11.90028, 186.680,  41.317, New tracking position
11.91694, 187.011,  41.297, New tracking position
11.93361, 187.343,  41.276, New tracking position
11.95028, 187.674,  41.253, New tracking position
11.96694, 188.004,  41.230, New tracking position
11.98361, 188.335,  41.206, New tracking position
12.00028, 188.665,  41.180, New tracking position
12.01694, 188.995,  41.154, New tracking position
12.03361, 189.325,  41.127, New tracking position
12.05028, 189.654,  41.098, New tracking position
12.06694, 189.983,  41.069, New tracking position
12.08361, 190.312,  41.039, New tracking position
12.10028, 190.640,  41.008, New tracking position
12.11694, 190.969,  40.976, New tracking position
12.13361, 191.296,  40.942, New tracking position
12.15000, 191.619,  40.909, New tracking position
12.16667, 191.946,  40.874, New tracking position
12.18333, 192.272,  40.838, New tracking position
12.20000, 192.599,  40.801, New tracking position
12.21667, 192.925,  40.763, New tracking position
12.23333, 193.251,  40.724, New tracking position
12.25000, 193.576,  40.684, New tracking position
12.26667, 193.901,  40.643, New tracking position
12.28333, 194.225,  40.601, New tracking position
12.30000, 194.549,  40.559, New tracking position
12.31667, 194.873,  40.515, New tracking position
12.33333, 195.196,  40.470, New tracking position
12.35000, 195.519,  40.425, New tracking position
12.36667, 195.841,  40.378, New tracking position
12.38333, 196.163,  40.331, New tracking position
12.40000, 196.484,  40.283, New tracking position
12.41667, 196.805,  40.233, New tracking position
12.43333, 197.125,  40.183, New tracking position
12.45000, 197.445,  40.132, New tracking position
12.46667, 197.765,  40.080, New tracking position
12.48333, 198.084,  40.027, New tracking position
12.50000, 198.402,  39.973, New tracking position
12.51667, 198.720,  39.918, New tracking position
12.53333, 199.037,  39.862, New tracking position
12.55000, 199.354,  39.806, New tracking position
12.56667, 199.670,  39.748, New tracking position
12.58333, 199.986,  39.690, New tracking position
12.60000, 200.301,  39.631, New tracking position
12.61667, 200.616,  39.570, New tracking position
12.63333, 200.930,  39.509, New tracking position
12.65000, 201.243,  39.447, New tracking position
12.66667, 201.556,  39.384, New tracking position
12.68333, 201.868,  39.321, New tracking position
12.70000, 202.180,  39.256, New tracking position
12.71667, 202.491,  39.190, New tracking position
12.73333, 202.802,  39.124, New tracking position
12.75000, 203.112,  39.057, New tracking position
12.76667, 203.421,  38.989, New tracking position
12.78333, 203.730,  38.920, New tracking position
12.80000, 204.038,  38.850, New tracking position
12.81667, 204.345,  38.779, New tracking position
12.83333, 204.652,  38.708, New tracking position
12.85000, 204.958,  38.636, New tracking position
12.86667, 205.264,  38.562, New tracking position
12.88333, 205.569,  38.488, New tracking position
12.90000, 205.873,  38.414, New tracking position
12.91667, 206.177,  38.338, New tracking position
12.93333, 206.480,  38.261, New tracking position
12.95000, 206.782,  38.184, New tracking position
12.96667, 207.084,  38.106, New tracking position
12.98333, 207.385,  38.027, New tracking position
13.01667, 207.985,  37.867, New tracking position
13.03333, 208.284,  37.785, New tracking position
13.05000, 208.582,  37.703, New tracking position
13.06667, 208.880,  37.620, New tracking position
13.08333, 209.177,  37.537, New tracking position
13.10000, 209.473,  37.452, New tracking position
13.11667, 209.769,  37.367, New tracking position
13.13333, 210.063,  37.281, New tracking position
13.15000, 210.358,  37.194, New tracking position
