# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 186.300 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
12.96849; 200.758;  14.995; -14.458; -45.506;Commanded position az=-14.458, el=-45.506
12.96905; 200.758;  14.495; -14.458; -46.006;Commanded position az=-14.458, el=-46.006
12.96961; 200.758;  13.995; -14.458; -46.506;Commanded position az=-14.458, el=-46.506
12.97016; 200.758;  13.495; -14.458; -47.006;Commanded position az=-14.458, el=-47.006
12.97072; 200.758;  12.995; -14.458; -47.506;Commanded position az=-14.458, el=-47.506
12.97128; 201.258;  12.995; -14.958; -47.506;Commanded position az=-14.958, el=-47.506
12.97183; 201.258;  13.495; -14.958; -47.006;Commanded position az=-14.958, el=-47.006
12.97239; 201.258;  13.995; -14.958; -46.506;Commanded position az=-14.958, el=-46.506
12.97295; 201.258;  14.495; -14.958; -46.006;Commanded position az=-14.958, el=-46.006
12.97350; 201.258;  14.995; -14.958; -45.506;Commanded position az=-14.958, el=-45.506
12.97406; 201.258;  15.495; -14.958; -45.006;Commanded position az=-14.958, el=-45.006
12.97462; 201.258;  15.995; -14.958; -44.506;Commanded position az=-14.958, el=-44.506
12.97517; 201.258;  16.495; -14.958; -44.006;Commanded position az=-14.958, el=-44.006
12.97573; 201.258;  16.995; -14.958; -43.506;Commanded position az=-14.958, el=-43.506
12.97629; 201.258;  17.495; -14.958; -43.006;Commanded position az=-14.958, el=-43.006
12.97684; 201.258;  17.995; -14.958; -42.506;Commanded position az=-14.958, el=-42.506
12.97740; 201.258;  18.495; -14.958; -42.006;Commanded position az=-14.958, el=-42.006
12.97796; 201.258;  18.995; -14.958; -41.506;Commanded position az=-14.958, el=-41.506
12.97851; 201.258;  19.495; -14.958; -41.006;Commanded position az=-14.958, el=-41.006
12.97907; 201.258;  19.995; -14.958; -40.506;Commanded position az=-14.958, el=-40.506
12.97963; 201.258;  20.495; -14.958; -40.006;Commanded position az=-14.958, el=-40.006
12.98018; 201.258;  20.995; -14.958; -39.506;Commanded position az=-14.958, el=-39.506
12.98074; 201.258;  21.495; -14.958; -39.006;Commanded position az=-14.958, el=-39.006
12.98130; 201.258;  21.995; -14.958; -38.506;Commanded position az=-14.958, el=-38.506
12.98185; 201.258;  22.495; -14.958; -38.006;Commanded position az=-14.958, el=-38.006
12.98241; 201.258;  22.995; -14.958; -37.506;Commanded position az=-14.958, el=-37.506
12.98296; 201.758;  22.995; -15.458; -37.506;Commanded position az=-15.458, el=-37.506
12.98352; 201.758;  22.495; -15.458; -38.006;Commanded position az=-15.458, el=-38.006
12.98408; 201.758;  21.995; -15.458; -38.506;Commanded position az=-15.458, el=-38.506
12.98463; 201.758;  21.495; -15.458; -39.006;Commanded position az=-15.458, el=-39.006
12.98519; 201.758;  20.995; -15.458; -39.506;Commanded position az=-15.458, el=-39.506
12.98575; 201.758;  20.495; -15.458; -40.006;Commanded position az=-15.458, el=-40.006
12.98630; 201.758;  19.995; -15.458; -40.506;Commanded position az=-15.458, el=-40.506
12.98686; 201.758;  19.495; -15.458; -41.006;Commanded position az=-15.458, el=-41.006
12.98742; 201.758;  18.995; -15.458; -41.506;Commanded position az=-15.458, el=-41.506
12.98798; 201.758;  18.495; -15.458; -42.006;Commanded position az=-15.458, el=-42.006
12.98853; 201.758;  17.995; -15.458; -42.506;Commanded position az=-15.458, el=-42.506
12.98909; 201.758;  17.495; -15.458; -43.006;Commanded position az=-15.458, el=-43.006
12.98964; 201.758;  16.995; -15.458; -43.506;Commanded position az=-15.458, el=-43.506
12.99020; 201.758;  16.495; -15.458; -44.006;Commanded position az=-15.458, el=-44.006
12.99076; 201.758;  15.995; -15.458; -44.506;Commanded position az=-15.458, el=-44.506
12.99131; 201.758;  15.495; -15.458; -45.006;Commanded position az=-15.458, el=-45.006
12.99187; 201.758;  14.995; -15.458; -45.506;Commanded position az=-15.458, el=-45.506
12.99243; 201.758;  14.495; -15.458; -46.006;Commanded position az=-15.458, el=-46.006
12.99298; 201.758;  13.995; -15.458; -46.506;Commanded position az=-15.458, el=-46.506
12.99354; 201.758;  13.495; -15.458; -47.006;Commanded position az=-15.458, el=-47.006
12.99410; 201.758;  12.995; -15.458; -47.506;Commanded position az=-15.458, el=-47.506
12.99465; 202.258;  12.995; -15.958; -47.507;Commanded position az=-15.958, el=-47.507
12.99521; 202.258;  13.495; -15.958; -47.007;Commanded position az=-15.958, el=-47.007
12.99577; 202.258;  13.995; -15.958; -46.507;Commanded position az=-15.958, el=-46.507
12.99632; 202.258;  14.495; -15.958; -46.007;Commanded position az=-15.958, el=-46.007
12.99688; 202.258;  14.995; -15.958; -45.507;Commanded position az=-15.958, el=-45.507
12.99744; 202.258;  15.495; -15.958; -45.007;Commanded position az=-15.958, el=-45.007
12.99799; 202.258;  15.995; -15.958; -44.507;Commanded position az=-15.958, el=-44.507
12.99855; 202.258;  16.495; -15.958; -44.007;Commanded position az=-15.958, el=-44.007
12.99911; 202.258;  16.995; -15.958; -43.507;Commanded position az=-15.958, el=-43.507
12.99966; 202.258;  17.495; -15.958; -43.007;Commanded position az=-15.958, el=-43.007
13.00022; 202.258;  17.995; -15.958; -42.507;Commanded position az=-15.958, el=-42.507
13.00078; 202.258;  18.495; -15.958; -42.007;Commanded position az=-15.958, el=-42.007
13.00133; 202.258;  18.995; -15.958; -41.507;Commanded position az=-15.958, el=-41.507
13.00189; 202.258;  19.495; -15.958; -41.007;Commanded position az=-15.958, el=-41.007
13.00245; 202.258;  19.995; -15.958; -40.507;Commanded position az=-15.958, el=-40.507
13.00300; 202.258;  20.495; -15.958; -40.007;Commanded position az=-15.958, el=-40.007
13.00356; 202.258;  20.995; -15.958; -39.507;Commanded position az=-15.958, el=-39.507
13.00412; 202.258;  21.495; -15.958; -39.007;Commanded position az=-15.958, el=-39.007
13.00467; 202.258;  21.995; -15.958; -38.507;Commanded position az=-15.958, el=-38.507
13.00523; 202.258;  22.495; -15.958; -38.007;Commanded position az=-15.958, el=-38.007
13.00579; 202.258;  22.995; -15.958; -37.507;Commanded position az=-15.958, el=-37.507
13.00634; 202.758;  22.995; -16.458; -37.507;Commanded position az=-16.458, el=-37.507
13.00690; 202.758;  22.495; -16.458; -38.007;Commanded position az=-16.458, el=-38.007
13.00746; 202.758;  21.995; -16.458; -38.507;Commanded position az=-16.458, el=-38.507
13.00801; 202.758;  21.495; -16.458; -39.007;Commanded position az=-16.458, el=-39.007
13.00857; 202.758;  20.995; -16.458; -39.507;Commanded position az=-16.458, el=-39.507
13.00913; 202.758;  20.495; -16.458; -40.007;Commanded position az=-16.458, el=-40.007
13.00968; 202.758;  19.995; -16.458; -40.507;Commanded position az=-16.458, el=-40.507
13.01024; 202.758;  19.495; -16.458; -41.007;Commanded position az=-16.458, el=-41.007
13.01080; 202.758;  18.995; -16.458; -41.507;Commanded position az=-16.458, el=-41.507
13.01135; 202.758;  18.495; -16.458; -42.007;Commanded position az=-16.458, el=-42.007
13.01191; 202.758;  17.995; -16.458; -42.507;Commanded position az=-16.458, el=-42.507
13.01247; 202.758;  17.495; -16.458; -43.007;Commanded position az=-16.458, el=-43.007
