DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT]; Azimuth[deg]; Elevation[deg]; Message
 8.83111;  40.447; -37.651; Commanded position az=40.447, el=-37.651
 8.83132;  40.447; -37.151; Commanded position az=40.447, el=-37.151
 8.83153;  39.947; -37.151; Commanded position az=39.947, el=-37.151
 8.83174;  39.947; -37.651; Commanded position az=39.947, el=-37.651
 8.83195;  39.947; -38.151; Commanded position az=39.947, el=-38.151
 8.83216;  39.947; -38.651; Commanded position az=39.947, el=-38.651
 8.83237;  39.947; -39.151; Commanded position az=39.947, el=-39.151
 8.83258;  39.947; -39.651; Commanded position az=39.947, el=-39.651
 8.83279;  39.947; -40.151; Commanded position az=39.947, el=-40.151
 8.83300;  39.947; -40.651; Commanded position az=39.947, el=-40.651
 8.83321;  39.947; -41.151; Commanded position az=39.947, el=-41.151
 8.83342;  39.947; -41.651; Commanded position az=39.947, el=-41.651
 8.83362;  39.947; -42.151; Commanded position az=39.947, el=-42.151
 8.83383;  39.947; -42.651; Commanded position az=39.947, el=-42.651
 8.83404;  39.947; -43.151; Commanded position az=39.947, el=-43.151
 8.83425;  39.947; -43.651; Commanded position az=39.947, el=-43.651
 8.83446;  39.947; -44.151; Commanded position az=39.947, el=-44.151
 8.83467;  39.947; -44.651; Commanded position az=39.947, el=-44.651
 8.83488;  39.947; -45.151; Commanded position az=39.947, el=-45.151
 8.83509;  39.947; -45.651; Commanded position az=39.947, el=-45.651
 8.83530;  39.947; -46.151; Commanded position az=39.947, el=-46.151
 8.83551;  39.947; -46.651; Commanded position az=39.947, el=-46.651
 8.83572;  39.947; -47.151; Commanded position az=39.947, el=-47.151
 8.83593;  39.947; -47.651; Commanded position az=39.947, el=-47.651
 8.83614;  39.947; -48.151; Commanded position az=39.947, el=-48.151
 8.83635;  39.947; -48.651; Commanded position az=39.947, el=-48.651
 8.83656;  39.947; -49.151; Commanded position az=39.947, el=-49.151
 8.83677;  39.947; -49.651; Commanded position az=39.947, el=-49.651
 8.83698;  39.947; -50.151; Commanded position az=39.947, el=-50.151
 8.83719;  39.947; -50.651; Commanded position az=39.947, el=-50.651
 8.83740;  39.947; -51.151; Commanded position az=39.947, el=-51.151
